Year,ID Geography,Geography,Date,Confirmed,ConfirmedGrowth,ConfirmedPC,deathIncrease,Deaths,DeathsPC,fips,hash,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,ISO2 Geography,Negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,pending,Population,Positive,positiveIncrease,PositivePC,posNeg,recovered,total,totalTestResults,totalTestResultsIncrease
"2018","04000US02","Alaska","2020/03/06",0,,,,0,,"02","f84bd2a87b65a5dbf74e4e21d6162ef74c26d1ab",,,,,,,"AK",8,,,,1,737438,0,,0,8,,9,8,
"2018","04000US02","Alaska","2020/03/07",0,,,0,0,,"02","dc09f2d4469f39130b5a0ecbfa19b60ef5857480",,,,0,,,"AK",12,4,,,2,737438,0,0,0,12,,14,12,4
"2018","04000US02","Alaska","2020/03/08",0,,,0,0,,"02","528a8fb92237aff1573242df365fac0172b5c6ef",,,,0,,,"AK",14,2,,,6,737438,0,0,0,14,,20,14,2
"2018","04000US02","Alaska","2020/03/09",0,,,0,0,,"02","3c498dcf81280452872d02ad5f1e513e76aec6db",,,,0,,,"AK",23,9,,,9,737438,0,0,0,23,,32,23,9
"2018","04000US02","Alaska","2020/03/10",0,,,0,0,,"02","7aa445ebf9123446b45e378bb01eb24bf5f69895",,,,0,,,"AK",23,0,,,9,737438,0,0,0,23,,32,23,0
"2018","04000US02","Alaska","2020/03/11",0,,,0,0,,"02","6a17e217d5f39b7b3b9c1c5933dbc5811dbd4620",,,,0,,,"AK",46,23,,,14,737438,0,0,0,46,,60,46,23
"2018","04000US02","Alaska","2020/03/12",0,,,0,0,,"02","0fd333d14b98cc22b225d70a0b314964664b10f9",,,,0,,,"AK",46,0,,,14,737438,0,0,0,46,,60,46,0
"2018","04000US02","Alaska","2020/03/13",1,,0.13560462032062356,0,0,,"02","2afab82ea203dff6b9469b231d446fe50372e9a8",,,,0,,,"AK",59,13,,,,737438,1,1,0.016666666666666666,60,,60,60,14
"2018","04000US02","Alaska","2020/03/14",1,0,0.13560462032062356,0,0,,"02","4a434e53edb6d886ef8d8268fbaaf9da49839561",,,,0,,,"AK",143,84,,,,737438,1,0,0.006944444444444444,144,,144,144,84
"2018","04000US02","Alaska","2020/03/15",1,0,0.13560462032062356,0,0,,"02","c20c931369ad254d76fc60d098f567d137232cca",,,,0,,,"AK",143,0,,,,737438,1,0,0.006944444444444444,144,,144,144,0
"2018","04000US02","Alaska","2020/03/16",1,0,0.13560462032062356,0,0,,"02","7f5e80851d8d525a1ec21037882a96359ee72d43",,,,0,,,"AK",143,0,,,,737438,1,0,0.006944444444444444,144,,144,144,0
"2018","04000US02","Alaska","2020/03/17",3,2,0.40681386096187067,0,0,,"02","969eccec44af129b62208bde1e56de80253261ba",,,,0,,,"AK",334,191,,,,737438,3,2,0.008902077151335312,337,,337,337,193
"2018","04000US02","Alaska","2020/03/18",6,3,0.8136277219237413,0,0,,"02","f5288de93bf587b4c28a1f99cabe8bd017cd5a75",,,,0,,,"AK",406,72,,,,737438,6,3,0.014563106796116505,412,,412,412,75
"2018","04000US02","Alaska","2020/03/19",6,0,0.8136277219237413,0,0,,"02","2f94c7b77ddd84452d1a7abc0c35bfbb30a683ec",,,,0,,,"AK",432,26,,,,737438,6,0,0.0136986301369863,438,,438,438,26
"2018","04000US02","Alaska","2020/03/20",12,6,1.6272554438474827,0,0,,"02","f333d1fc4f737ba173a927f13856144d9ede40b1",,,,0,,,"AK",686,254,,,,737438,12,6,0.017191977077363897,698,,698,698,260
"2018","04000US02","Alaska","2020/03/21",14,2,1.8984646844887298,0,0,,"02","040a8237b6953bded6ce9cfbc7c1407cd7217925",0,0,,0,,,"AK",758,72,,,,737438,14,2,0.018134715025906734,772,,772,772,74
"2018","04000US02","Alaska","2020/03/22",22,8,2.9833016470537186,0,0,,"02","e669781c62a117ab762f1da8f91c871c513e9e56",0,0,,0,,,"AK",946,188,,,,737438,22,8,0.022727272727272728,968,,968,968,196
"2018","04000US02","Alaska","2020/03/23",22,0,2.9833016470537186,0,0,,"02","309e3a85275642280ff4b165355c3632a9756a3f",0,0,,0,,,"AK",946,0,,,,737438,22,0,0.022727272727272728,968,,968,968,0
"2018","04000US02","Alaska","2020/03/24",36,14,4.881766331542448,0,0,,"02","0fd3b206cbb54876519c68f6cfa972a34ca1dd00",0,0,,0,,,"AK",986,40,,,,737438,36,14,0.03522504892367906,1022,,1022,1022,54
"2018","04000US02","Alaska","2020/03/25",42,6,5.69539405346619,1,1,0.13560462032062356,"02","1177d47fa6cfe50c0ec66e2a09eeb787d6888d54",1,1,,1,,,"AK",1649,663,,,,737438,42,6,0.024837374334713187,1691,,1691,1691,669
"2018","04000US02","Alaska","2020/03/26",59,17,8.00067259891679,0,1,0.13560462032062356,"02","85167cec4294a3feb37de008f846cf044cc66382",3,3,,2,,,"AK",1801,152,,,,737438,59,17,0.031720430107526884,1860,,1860,1860,169
